team_id,team_name,team_name_short,image_url
129,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/CSK/logos/Logooutline/CSKoutline.png
252,Delhi Capitals,DC,https://documents.iplt20.com/ipl/DC/Logos/LogoOutline/DCoutline.png
5,Gujarat Lions,GL,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/GL.png?v=2
615,Gujarat Titans,GT,https://documents.iplt20.com/ipl/GT/Logos/Logooutline/GToutline.png
6,Kolkata Knight Riders,KKR,https://documents.iplt20.com/ipl/KKR/Logos/Logooutline/KKRoutline.png
1414,Kochi Tuskers Kerala,KTK,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/KTK.png?v=2
614,Lucknow Super Giants,LSG,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png
3,Mumbai Indians,MI,https://documents.iplt20.com/ipl/MI/Logos/Logooutline/MIoutline.png
494,Punjab Kings,PK,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png
1419,Pune Warriors,PWI,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/PWI.png?v=2
1,Royal Challengers Bangalore,RCB,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png
4,Rising Pune Supergiant,RPS,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/RPS.png?v=2
134,Rajasthan Royals,RR,https://1000logos.net/wp-content/uploads/2024/03/Rajasthan-Royals-Logo-768x432.png
2,Sunrisers Hyderabad,SRH,https://documents.iplt20.com/ipl/SRH/Logos/Logooutline/SRHoutline.png
